ratio,c_l_over_c_h,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_sd,koszt_ci95,utracono_mean,bullwhip_mean,p_vs_ROP_fr,p_vs_ROP_k
BASE,20,15,3,10,ROP,87.15161231446585,2.532880116494841,1.281814194525591,23373.866666666665,774.8162562520104,392.11112635974905,701.1333333333333,10.827353806473388,,
BASE,20,15,3,10,"(s,S)",91.08585559217696,2.3127775996413185,1.1704269525806057,25586.93333333333,736.2641428829996,372.60106513595,487.9333333333333,14.74216172860133,0.0003609347195741,9.073400856319234e-06
BASE,20,15,3,10,QL,100.0,0.0,0.0,87128.63333333333,13301.498754794871,6731.487132504112,0.0,18.580179512208588,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,3,10,SARSA,100.0,0.0,0.0,102750.8,10896.852618662744,5514.568285839245,0.0,23.848811769283024,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,3,10,DQN,100.0,0.0,0.0,66449.76666666666,640.8654825052344,324.32268187785525,0.0,7.059286256816886,6.86615554782638e-07,3.383339412654217e-06
BASE,20,15,3,30,ROP,86.40015689874551,2.62371477928754,1.327782876329511,23543.83333333333,780.7155524322055,395.09658213882057,742.1333333333333,10.773503589988202,,
BASE,20,15,3,30,"(s,S)",91.3789937539945,2.1267588721092543,1.0762884878955268,25341.533333333333,836.5336315215704,423.34442759425934,471.6666666666667,14.74975823640946,8.13402807598356e-05,2.7983495853192974e-05
BASE,20,15,3,30,QL,95.01039382851118,18.88104614946975,9.555127699993683,86006.3,17339.018059814443,8774.753816206128,279.4,17.890109981415222,2.7060625956888097e-05,3.391821390825095e-06
BASE,20,15,3,30,SARSA,99.93273405491348,0.2605198850870246,0.1318412523695944,103533.9,12354.94528403216,6252.464984239095,3.6666666666666665,22.771625474541725,9.575619545277022e-07,3.391821390825095e-06
BASE,20,15,3,30,DQN,97.5264954374391,2.0840618805988296,1.054680828920597,68784.4,8920.558873427477,4514.425658204596,135.13333333333333,23.109162541310127,3.3077867420930117e-06,3.391821390825095e-06
BASE,20,15,3,60,ROP,87.51089620518768,1.893175696747592,0.9580790914732114,23096.166666666668,527.2581255441977,266.829426746335,679.4666666666667,10.827577106608029,,
BASE,20,15,3,60,"(s,S)",90.55092524574113,2.7060418031188083,1.369446098782377,25682.266666666663,794.5284285722719,402.08686193463774,518.0666666666667,14.671340781323662,0.0051089775647294,3.391821390825095e-06
BASE,20,15,3,60,QL,99.58704570673426,0.9858265440634156,0.4988970655544912,89892.6,16275.357831484294,8236.467471760936,22.8,20.104784650602294,1.9018955427604428e-06,3.391821390825095e-06
BASE,20,15,3,60,SARSA,99.03998339597032,1.6208242034605296,0.8202502192253175,111190.0,11685.940449042662,5913.901825204744,52.13333333333333,21.72171739444486,2.737821349395807e-06,3.391821390825095e-06
BASE,20,15,3,60,DQN,93.55579733950628,0.8938331621033351,0.4523419909455798,101930.4,608.3295394532709,307.8572229069833,352.8,17.465403189019312,3.391821390825095e-06,3.391821390825095e-06
BASE,20,15,3,90,ROP,86.71896521029757,2.428615171345239,1.229048852094326,23252.13333333333,787.459079813645,398.5092778532404,723.8666666666667,10.78146782942996,,
BASE,20,15,3,90,"(s,S)",90.9359365864838,1.6639506040952905,0.8420751892001831,25491.233333333334,611.6983636525752,309.56208317629023,496.4666666666666,14.746274765593816,8.13402807598356e-05,9.073400856319234e-06
BASE,20,15,3,90,QL,97.21435830938456,5.266004920432461,2.664966182763148,90507.7,17394.65201762558,8802.908483438716,152.2,19.71210226149357,0.0001642952777043,3.391821390825095e-06
BASE,20,15,3,90,SARSA,96.57677541241732,5.894777012165964,2.9831687645027456,107851.06666666668,10447.146966767436,5286.985825775757,187.4,21.863532608781664,0.0007697618788302,3.391821390825095e-06
BASE,20,15,3,90,DQN,86.97473991463242,0.6617382342564913,0.3348857516810148,116453.6,876.3806495223083,443.5098009770096,713.8666666666667,23.08444066327441,0.8682259903524354,3.391821390825095e-06
BASE,20,15,7,10,ROP,82.44444514575643,2.366294323861577,1.1975101517826945,23869.7,718.9687505627169,363.8483889900664,956.8666666666668,10.533366307041817,,
BASE,20,15,7,10,"(s,S)",86.31548669870539,2.2616871294269463,1.1445716073160237,25746.066666666666,711.8999444812318,360.2710795411946,749.6666666666666,14.368418588641829,0.0004224675766939,5.052703540469845e-06
BASE,20,15,7,10,QL,100.0,0.0,0.0,87643.53333333334,11010.057441894183,5571.857830797112,0.0,21.730565648672076,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,7,10,SARSA,100.0,0.0,0.0,106641.23333333334,13478.290538951183,6820.956119579848,0.0,19.37143227825896,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,7,10,DQN,98.00270291530184,0.5299061982604608,0.2681695364395404,131614.7,831.9741968869673,421.03703531162193,109.33333333333331,16.98580536583105,3.391821390825095e-06,3.391821390825095e-06
BASE,20,15,7,30,ROP,82.7574869562762,2.4883917334810755,1.2592999663680216,23619.166666666668,895.437396445101,453.1538455364187,938.9333333333332,10.55058870789036,,
BASE,20,15,7,30,"(s,S)",86.9000494242858,2.1076669533722026,1.0666266439422691,25584.5,765.9346764388126,387.6164268276909,717.8666666666667,14.41387492276303,9.66153587015232e-05,7.477207640048691e-06
BASE,20,15,7,30,QL,100.0,0.0,0.0,90833.56666666668,10563.642666622876,5345.940784087224,0.0,23.097202448037585,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,7,30,SARSA,99.9308965266412,0.26763660148369,0.1354428077832326,100644.93333333332,6287.928031061546,3182.1306314030817,3.8,22.552180022678133,9.575619545277022e-07,3.391821390825095e-06
BASE,20,15,7,30,DQN,100.0,0.0,0.0,134275.76666666666,811.4667686767381,410.6588447285383,0.0,10.417829161873666,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,7,60,ROP,81.31704772222798,2.439560220677292,1.2345878112824236,24108.63333333333,864.1594278063895,437.3250094553375,1019.3333333333334,10.441729355406997,,
BASE,20,15,7,60,"(s,S)",87.52805421276643,1.8056978703809936,0.9138092032883242,25531.43333333333,590.0666084273473,298.6149046187153,683.2666666666667,14.44630835546423,7.477207640048691e-06,8.13402807598356e-05
BASE,20,15,7,60,QL,98.18444133264434,2.6381939663442133,1.335110355973561,89826.23333333334,13049.231617864198,6603.82234694073,99.33333333333331,20.853860435854426,2.4915139745186894e-06,3.391821390825095e-06
BASE,20,15,7,60,SARSA,99.549024880818,0.8216039402126263,0.4157889613425943,106874.13333333332,10412.06050430164,5269.229625894261,24.4,21.490020409534104,1.9018955427604428e-06,3.391821390825095e-06
BASE,20,15,7,60,DQN,94.79453594027578,1.0697415439601237,0.541363914775159,129476.33333333331,876.3206496211195,443.4794368375808,285.1333333333333,16.406589851150088,3.391821390825095e-06,3.391821390825095e-06
BASE,20,15,7,90,ROP,81.8836448992423,2.8540469744279093,1.44434704976372,23959.766666666663,1250.2419603915914,632.7097287333092,990.3333333333334,10.504609610132698,,
BASE,20,15,7,90,"(s,S)",86.37166100232612,2.121741082895693,1.0737491361918303,25740.166666666668,582.0417469890757,294.5537644037917,745.8666666666667,14.325204041981184,0.0001603262273507,0.0002621688881365
BASE,20,15,7,90,QL,94.27481043525376,7.69454784559844,3.8939784732462575,84832.36666666667,11325.695644775877,5731.592800546962,311.53333333333336,22.22839914350045,0.0001642952777043,3.391821390825095e-06
BASE,20,15,7,90,SARSA,95.16006921656654,6.941630010070278,3.5129494768060123,101109.23333333334,8762.701218123053,4434.538662382719,263.1333333333333,22.87486420399624,3.394530216516142e-05,3.391821390825095e-06
BASE,20,15,7,90,DQN,86.61848007991173,1.0401784894977852,0.5264029450093262,126772.9,834.2386434862115,422.1830034033424,733.2,11.018702570649726,9.073400856319234e-06,3.391821390825095e-06
BASE,20,15,14,10,ROP,72.18834665997142,2.1049738030825966,1.0652637218494605,27367.8,813.8560946857515,411.8680105211701,1521.0666666666666,9.889448274627066,,
BASE,20,15,14,10,"(s,S)",77.10160106726968,2.232663360637349,1.129883553755629,28434.966666666667,829.2353290546545,419.6509769500258,1253.2666666666669,13.603961086737502,2.3290004782067234e-05,0.0024626042007544
BASE,20,15,14,10,QL,100.0,0.0,0.0,79700.86666666667,10096.920586896542,5109.746823387805,0.0,21.185649878881204,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,14,10,SARSA,100.0,0.0,0.0,96584.83333333331,14508.29004356114,7342.207787499464,0.0,21.11070648059614,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,14,10,DQN,100.0,0.0,0.0,102270.73333333334,13510.137571820793,6837.072941896049,0.0,26.96739135836225,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,14,30,ROP,70.98187454359449,2.7945700332494603,1.4142475646151678,27758.4,963.0392033260416,487.3650800402781,1587.8666666666666,9.82854465223876,,
BASE,20,15,14,30,"(s,S)",76.8412619628763,2.5554989160103223,1.2932608864133204,28474.0,862.5382807239837,436.5045958368213,1267.2,13.593666376020336,3.356755084154065e-05,0.0512394191927443
BASE,20,15,14,30,QL,99.59607238614562,0.8072006370692443,0.4084998842571808,79339.66666666667,12349.437548884953,6249.677685683034,22.33333333333333,22.076919090364413,2.4915139745186894e-06,3.391821390825095e-06
BASE,20,15,14,30,SARSA,99.7338936744773,0.525952470708003,0.266168674233302,96845.5,12943.15452827699,6550.1399328930365,14.666666666666666,21.590237275285297,2.209768522047377e-06,3.391821390825095e-06
BASE,20,15,14,30,DQN,100.0,0.0,0.0,133115.6,667.8674537019197,337.9875646864344,0.0,6.911201613540255,6.86615554782638e-07,3.391821390825095e-06
BASE,20,15,14,60,ROP,70.82753927578209,2.664103664888709,1.348222472553391,27809.93333333333,1112.4147779022169,562.9595507616667,1597.2,9.77966437129122,,
BASE,20,15,14,60,"(s,S)",77.25411051378084,2.593157095562808,1.3123185547080083,28413.666666666668,833.6907543025316,421.9057332206384,1244.3333333333333,13.57449451733956,1.3294722762606465e-05,0.0563923642268315
BASE,20,15,14,60,QL,96.4795652682363,4.345106437817903,2.1989272498325367,79207.43333333333,11750.385274635932,5946.515406744281,193.46666666666667,22.240784375810083,2.94305358632017e-06,3.391821390825095e-06
BASE,20,15,14,60,SARSA,97.15031388242478,3.6734899257032216,1.859042399815348,91581.73333333334,11346.595651916714,5742.169663480328,156.6,20.089025058715208,3.1051969694601048e-06,3.391821390825095e-06
BASE,20,15,14,60,DQN,94.9812397867513,1.0555514802672206,0.5341827517408988,129342.26666666666,708.34817575486,358.4736365672903,274.93333333333334,10.634745091059196,3.391821390825095e-06,3.391821390825095e-06
BASE,20,15,14,90,ROP,70.20647541541959,2.4141578153756647,1.22173242050468,27962.3,939.3811944953064,475.39247567737823,1627.2,9.763790630663186,,
BASE,20,15,14,90,"(s,S)",76.37413703085734,1.913064514333341,0.9681442218864988,28696.366666666665,772.142345931728,390.75794103482747,1294.4666666666667,13.49142117910394,6.151638741096579e-06,0.0421106167918069
BASE,20,15,14,90,QL,96.03707033847428,6.720547920910421,3.4010665028764584,73803.16666666667,11997.303203914898,6071.473119733336,215.86666666666667,22.348044952091374,2.94305358632017e-06,3.391821390825095e-06
BASE,20,15,14,90,SARSA,94.2648728637283,6.894868044799973,3.489284657276244,90292.43333333332,12577.992273733327,6365.342335039579,311.1333333333333,23.422336900674903,2.737821349395807e-06,3.391821390825095e-06
BASE,20,15,14,90,DQN,82.51886016553304,2.5027018779144083,1.2665418986414454,81456.46666666666,1593.7017271867703,806.5243524336041,956.4666666666668,20.922583255198525,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,3,10,ROP,77.9185605270629,3.7519706965271578,1.898759149686102,30334.3,2070.326154429365,1047.7295923968168,1611.4666666666667,10.080753918841715,,
BASE,20,20,3,10,"(s,S)",82.20805571416318,3.33055545796102,1.685493614114291,30861.733333333334,1741.8028515907083,881.473862380754,1302.2666666666669,14.191349588355855,0.0021450570245935,0.3400858902842717
BASE,20,20,3,10,QL,99.90753456010252,0.3581171088226203,0.1812322621990291,89991.36666666667,14363.809865007794,7269.090728981291,6.733333333333333,20.71834517448604,9.575619545277022e-07,3.391821390825095e-06
BASE,20,20,3,10,SARSA,100.0,0.0,0.0,107636.46666666666,15302.177387626278,7743.970215910469,0.0,19.57656804492588,6.86615554782638e-07,3.391821390825095e-06
BASE,20,20,3,10,DQN,96.96310261557056,1.1944560904805168,0.6044781833710559,55106.36666666667,1831.189450161002,926.7097225786388,221.0,12.341039773262583,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,3,30,ROP,76.12038509080114,2.570284763213789,1.3007435575038566,31300.6,1447.112644939176,732.340041394251,1740.6,9.961884672858885,,
BASE,20,20,3,30,"(s,S)",82.05328225878493,2.824926151625939,1.4296098800963744,30999.366666666665,1360.6798650814585,688.5990197120851,1312.7333333333331,14.148688903967354,8.13402807598356e-05,0.4553018964198552
BASE,20,20,3,30,QL,99.76336849429156,0.5768991364363621,0.2919512443869708,93209.63333333332,12685.223495225046,6419.60882041695,17.133333333333333,18.39786100060835,1.5804777280713312e-06,3.391821390825095e-06
BASE,20,20,3,30,SARSA,99.27200662616036,1.1724039429845992,0.5933182569710822,109877.13333333332,12873.015863018418,6514.644870916739,53.06666666666667,16.801593096997173,2.209768522047377e-06,3.391821390825095e-06
BASE,20,20,3,30,DQN,99.9453924914676,0.2114939711239567,0.1070307167235506,134319.1,1114.944748791232,564.2398926839542,4.0,7.976219922867584,9.575619545277022e-07,3.391821390825095e-06
BASE,20,20,3,60,ROP,77.54175314718006,4.295497103316387,2.1738214626573376,30514.766666666663,2456.9466450589985,1243.3865560076017,1643.6666666666667,10.06411948212601,,
BASE,20,20,3,60,"(s,S)",82.19848518824124,3.135024300610028,1.5865411957458435,30901.566666666666,1560.1578659439135,789.5488164813567,1302.4,14.195414488194418,0.0079403362642465,0.5614474146848649
BASE,20,20,3,60,QL,97.02660163669042,4.668496084081852,2.362584991169851,88439.96666666666,9783.338871824506,4951.052580061649,218.4,19.33111508675164,2.737821349395807e-06,3.391821390825095e-06
BASE,20,20,3,60,SARSA,97.34062802069133,3.3294586080357926,1.6849385314657814,110905.63333333332,8379.903228785493,4240.816151327687,193.33333333333331,18.39207549456801,2.94305358632017e-06,3.391821390825095e-06
BASE,20,20,3,60,DQN,92.41424042300612,0.5471037865458553,0.276872716914711,131471.23333333334,599.4462881534528,303.36167748598547,552.7333333333333,14.879575506354833,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,3,90,ROP,76.73782100141389,3.211739741170493,1.6253645652410296,30917.83333333333,1910.3201645149384,966.7553892571676,1702.8666666666666,10.021401853656558,,
BASE,20,20,3,90,"(s,S)",82.9268130806274,2.9155739384338157,1.4754839896035632,30574.83333333333,1461.3253605969512,739.5326679043852,1249.2,14.22416559431564,3.356755084154065e-05,0.6186695570822622
