MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,Run,fill_rate,cost,lost_demand,bullwhip
15,3,10,DQN,0,100.0,67511.0,0,7.039905377028905
15,3,10,DQN,1,100.0,66941.0,0,7.0486074745090885
15,3,10,DQN,2,100.0,66720.0,0,7.031014583432027
15,3,10,DQN,3,100.0,66310.0,0,7.039905377028905
15,3,10,DQN,4,100.0,66149.5,0,7.065448354872462
15,3,10,DQN,5,100.0,65024.5,0,7.121531220048184
15,3,10,DQN,6,100.0,65877.5,0,7.11309421692401
15,3,10,DQN,7,100.0,65755.5,0,7.077478272145229
15,3,10,DQN,8,100.0,67006.5,0,7.031014583432027
15,3,10,DQN,9,100.0,66846.5,0,7.039905377028904
15,3,10,DQN,10,100.0,66329.5,0,7.048607474509088
15,3,10,DQN,11,100.0,66357.5,0,7.039905377028905
15,3,10,DQN,12,100.0,66357.5,0,7.048607474509088
15,3,10,DQN,13,100.0,66213.5,0,7.048607474509088
15,3,10,DQN,14,100.0,67346.5,0,7.095661215247405
15,3,10,DQN,15,100.0,66046.5,0,7.057121573913018
15,3,10,DQN,16,100.0,66448.0,0,7.150807395861696
15,3,10,DQN,17,100.0,67987.5,0,6.992118627415881
15,3,10,DQN,18,100.0,66417.0,0,7.10447110815808
15,3,10,DQN,19,100.0,66796.0,0,7.031014583432027
15,3,10,DQN,20,100.0,66235.0,0,6.983525278866896
15,3,10,DQN,21,100.0,65946.5,0,7.039905377028905
15,3,10,DQN,22,100.0,65298.0,0,7.095661215247405
15,3,10,DQN,23,100.0,65404.5,0,7.095661215247405
15,3,10,DQN,24,100.0,67134.0,0,7.031014583432027
15,3,10,DQN,25,100.0,66520.0,0,7.065448354872462
15,3,10,DQN,26,100.0,67075.0,0,7.057121573913018
15,3,10,DQN,27,100.0,64410.5,0,7.129782778212981
15,3,10,DQN,28,100.0,67336.0,0,7.0486074745090885
15,3,10,DQN,29,100.0,66167.0,0,7.11309421692401
15,3,30,DQN,0,100.0,58138.0,0,16.826617224679207
15,3,30,DQN,1,93.98440401039733,65113.0,324,24.59520279954223
15,3,30,DQN,2,96.59763313609469,68309.5,184,25.167978853438917
15,3,30,DQN,3,98.77266898699396,82245.5,67,28.140734167698813
15,3,30,DQN,4,100.0,70843.0,0,20.62590992854155
15,3,30,DQN,5,96.06126914660832,66286.5,216,21.496696553650043
15,3,30,DQN,6,100.0,58009.5,0,17.376070221738434
15,3,30,DQN,7,97.52339020363236,73370.5,135,26.770361969489347
15,3,30,DQN,8,96.98275862068964,59971.5,168,19.666131796851385
15,3,30,DQN,9,97.11873738300606,77175.0,157,28.22826470719212
15,3,30,DQN,10,94.3416956601355,63542.0,309,24.910774660556594
15,3,30,DQN,11,100.0,66110.5,0,18.350915899292424
15,3,30,DQN,12,98.34605597964376,89929.5,91,29.73938634654334
15,3,30,DQN,13,94.82758620689656,69246.0,285,24.92638815435296
