MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,Run,fill_rate,cost,lost_demand,bullwhip
15,3,10,ROP,0,87.70275367785742,23232.5,652,10.701661179976169
15,3,10,"(s,S)",0,87.89404961760866,25823.0,649,14.244705778277824
15,3,10,QL,0,100.0,85608.5,0,14.214663944153736
15,3,10,SARSA,0,100.0,109735.5,0,21.59858862199682
15,3,10,ROP,1,87.66245997362968,22684.5,655,10.797093080567087
15,3,10,"(s,S)",1,91.92123665807875,25851.5,439,14.56813647529411
15,3,10,QL,1,100.0,87933.0,0,15.812515738137613
15,3,10,SARSA,1,100.0,128089.0,0,24.5246036287808
15,3,10,ROP,2,85.97675290588677,23567.5,748,10.637407484009412
15,3,10,"(s,S)",2,90.2270663033606,26778.0,538,14.734090076959172
15,3,10,QL,2,100.0,86841.5,0,11.203101197865497
15,3,10,SARSA,2,100.0,102764.5,0,27.809591256610744
15,3,10,ROP,3,87.24100327153762,23141.0,702,10.859710899612791
15,3,10,"(s,S)",3,93.44628560789424,25270.0,352,14.575626906964636
15,3,10,QL,3,100.0,73869.5,0,20.53923711977731
15,3,10,SARSA,3,100.0,103519.0,0,24.87775831084043
15,3,10,ROP,4,91.56997824510516,22194.0,465,11.106539790646924
15,3,10,"(s,S)",4,87.45328350240257,26394.5,705,14.615566427969306
15,3,10,QL,4,100.0,109908.0,0,22.34498108683612
15,3,10,SARSA,4,100.0,104402.0,0,28.790032191494504
15,3,10,ROP,5,87.25596529284165,23413.5,705,10.953423286985872
15,3,10,"(s,S)",5,89.18968023255815,26346.5,595,14.7917364875801
15,3,10,QL,5,100.0,91945.0,0,20.36705768745355
15,3,10,SARSA,5,100.0,100019.0,0,28.129395676180987
15,3,10,ROP,6,82.85766893758056,24123.5,931,10.540173855432055
15,3,10,"(s,S)",6,95.33952302931004,25657.5,256,15.193868222926485
15,3,10,QL,6,100.0,83631.0,0,28.60104265509002
15,3,10,SARSA,6,100.0,101857.5,0,22.751551087232727
15,3,10,ROP,7,86.22197922361946,24132.0,756,10.859710899612791
15,3,10,"(s,S)",7,89.49771689497716,25308.0,575,14.830362401667193
15,3,10,QL,7,100.0,83083.5,0,12.696888749785854
15,3,10,SARSA,7,100.0,78414.0,0,20.92500317331434
15,3,10,ROP,8,89.83321504613201,22687.5,573,11.166078253314446
15,3,10,"(s,S)",8,92.87920072661215,24121.5,392,15.033939693771448
15,3,10,QL,8,100.0,73494.0,0,18.380206432209857
15,3,10,SARSA,8,100.0,101698.0,0,25.098442573263934
15,3,10,ROP,9,86.88404469683093,23175.5,716,10.797093080567087
15,3,10,"(s,S)",9,92.4283396430503,25066.0,420,14.90832142341071
15,3,10,QL,9,100.0,99612.0,0,15.49201413738387
15,3,10,SARSA,9,100.0,105469.5,0,21.90056399265432
15,3,10,ROP,10,83.00676879230495,24878.5,954,10.79709308056709
15,3,10,"(s,S)",10,91.07846649946256,26018.5,498,14.92297966054647
15,3,10,QL,10,100.0,66448.5,0,17.650867880185118
15,3,10,SARSA,10,100.0,103174.0,0,25.16613963940009
15,3,10,ROP,11,83.73205741626795,24534.5,884,10.637407484009412
15,3,10,"(s,S)",11,92.88479262672811,24542.0,386,14.91731579833935
15,3,10,QL,11,100.0,100241.0,0,26.94034517291685
15,3,10,SARSA,11,100.0,112934.5,0,18.050546544698637
15,3,10,ROP,12,88.16931982633864,23545.5,654,10.879621892104916
15,3,10,"(s,S)",12,92.49726177437022,25086.0,411,14.954838860862074
15,3,10,QL,12,100.0,103984.5,0,22.83426461390583
15,3,10,SARSA,12,100.0,96216.0,0,15.540309512395163
15,3,10,ROP,13,89.40384974771071,22856.0,567,10.859710899612791
15,3,10,"(s,S)",13,87.95850314931457,26326.0,650,14.256058663143657
15,3,10,QL,13,100.0,65934.0,0,18.21763305839505
15,3,10,SARSA,13,100.0,104673.0,0,28.732616834479284
15,3,10,ROP,14,89.7563676633444,22442.0,555,10.81758193008199
15,3,10,"(s,S)",14,91.59242761692651,25215.0,453,14.584879051307375
15,3,10,QL,14,100.0,94395.5,0,13.4078732090325
15,3,10,SARSA,14,100.0,88296.5,0,23.83703349590257
15,3,10,ROP,15,89.21900017790428,22722.5,606,11.024007533694752
15,3,10,"(s,S)",15,85.45352952132613,26802.5,781,14.052507312983238
15,3,10,QL,15,100.0,104078.0,0,22.905431348547577
15,3,10,SARSA,15,100.0,102599.5,0,28.563839255110747
15,3,10,ROP,16,87.70537197710911,23206.5,666,10.79709308056709
15,3,10,"(s,S)",16,90.8357771260997,26429.5,500,14.766893772413502
15,3,10,QL,16,100.0,88618.0,0,15.85825750260579
15,3,10,SARSA,16,100.0,133348.0,0,19.02811554541681
15,3,10,ROP,17,89.10041060097052,22620.0,584,10.953423286985872
15,3,10,"(s,S)",17,92.45000934404784,24933.5,404,14.637996862570397
15,3,10,QL,17,100.0,78791.0,0,18.08170747933147
15,3,10,SARSA,17,100.0,102891.5,0,28.579383035186765
15,3,10,ROP,18,91.51801965780852,22387.0,466,11.024007533694752
15,3,10,"(s,S)",18,92.08194905869324,24605.5,429,14.6549282879528
15,3,10,QL,18,100.0,78600.0,0,21.13126370744358
15,3,10,SARSA,18,100.0,109555.0,0,22.62649920455728
15,3,10,ROP,19,86.69774112585156,23898.0,742,10.953423286985872
15,3,10,"(s,S)",19,90.54152945481157,25864.0,517,14.65408765862444
15,3,10,QL,19,100.0,102191.0,0,23.08577536779456
15,3,10,SARSA,19,100.0,102269.5,0,27.917122607092065
15,3,10,ROP,20,87.66094420600858,23499.5,690,10.953423286985874
15,3,10,"(s,S)",20,92.73612112472964,25121.0,403,15.017427960650403
15,3,10,QL,20,100.0,70741.0,0,15.49928014438276
15,3,10,SARSA,20,100.0,101879.5,0,28.986681165563912
15,3,10,ROP,21,90.81781672143116,21412.5,503,11.01447099679386
15,3,10,"(s,S)",21,90.1684873171635,25192.5,531,14.539667364343002
15,3,10,QL,21,100.0,121792.5,0,20.442224222955414
15,3,10,SARSA,21,100.0,100169.0,0,21.86368889219588
15,3,10,ROP,22,85.52102376599635,22972.0,792,10.79709308056709
15,3,10,"(s,S)",22,90.124143042431,25074.0,533,14.618228012640982
15,3,10,QL,22,100.0,76074.0,0,19.11391744894801
15,3,10,SARSA,22,100.0,101376.5,0,23.47243385463545
15,3,10,ROP,23,88.01498127340824,21776.0,640,10.79709308056709
15,3,10,"(s,S)",23,92.02938475665748,25030.0,434,14.565985666956786
15,3,10,QL,23,100.0,77186.0,0,19.19972685946537
15,3,10,SARSA,23,100.0,78410.5,0,20.28341135338447
15,3,10,ROP,24,88.212927756654,21967.5,651,10.963241150929475
15,3,10,"(s,S)",24,90.86322869955156,25375.0,489,14.634753192343666
15,3,10,QL,24,100.0,88022.0,0,26.289380829144847
15,3,10,SARSA,24,100.0,108471.0,0,19.935594051269675
15,3,10,ROP,25,88.18511796733213,23179.5,651,10.81758193008199
15,3,10,"(s,S)",25,90.16157989228007,26130.5,548,14.86526996741409
15,3,10,QL,25,100.0,83754.0,0,15.718245413581991
15,3,10,SARSA,25,100.0,133909.0,0,8.369253914418282
15,3,10,ROP,26,90.05148951820522,22974.5,541,10.953423286985872
15,3,10,"(s,S)",26,88.83486403745722,26648.5,620,14.66063392309348
15,3,10,QL,26,100.0,102169.5,0,29.119520196869704
15,3,10,SARSA,26,100.0,104342.5,0,29.285309010246216
15,3,10,ROP,27,87.2134670487106,23661.0,714,10.963241150929475
