R_value,s_value,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_ci95,p_QL_vs_ROP
60,60,15,3,10,ROP,74.61158835702373,3.071037731300448,1.0989567383833931,26657.516666666663,514.1198888237282,1.211780397005976e-12
60,60,15,3,10,"(s,S)",83.28346035167823,2.150308707577382,0.7694780886967425,29178.533333333333,324.5335944127625,
60,60,15,3,30,ROP,70.74355896195723,2.754886508556457,0.9858234762806398,30053.483333333334,452.7885976281356,6.025266196936119e-11
60,60,15,3,30,"(s,S)",79.11933585044889,3.3178108071038444,1.1872633494489953,32295.4,536.1077517910767,
60,60,15,3,60,ROP,63.85083796305487,3.173573145301911,1.135648565055325,35751.35,497.96024624152426,1.9558095152782195e-11
60,60,15,3,60,"(s,S)",72.42893102009619,2.737142620077794,0.9794739073352616,37401.95,418.6225745810032,
60,60,15,3,90,ROP,58.038496421586245,2.883419421749617,1.031818388559968,41021.45,507.8963634899336,1.6178940395786835e-11
60,60,15,3,90,"(s,S)",65.20451943199376,2.5263726573172485,0.9040508448102582,42573.03333333333,459.1093225870888,
60,60,15,7,10,ROP,68.62017154370412,2.285265165445413,0.8177716369168824,28801.783333333333,395.7972514557658,1.211780397005976e-12
60,60,15,7,10,"(s,S)",78.15102758808192,2.2273119449032373,0.7970333432851484,30809.05,356.51616610035586,
60,60,15,7,30,ROP,64.27759500152771,2.950468021233371,1.055811421745737,32361.95,543.5344272583242,1.7202510031315485e-12
60,60,15,7,30,"(s,S)",74.17180006796497,2.7091016931730185,0.9694395905118502,33821.48333333333,455.2206524833215,
60,60,15,7,60,ROP,58.71161871927362,2.5271269923145225,0.9043207801222876,37535.48333333333,498.8751668648856,1.7894851037736772e-11
60,60,15,7,60,"(s,S)",67.89432873192337,2.5004953347046786,0.8947907638393994,38797.66666666666,455.5422723615806,
60,60,15,7,90,ROP,52.965642076868455,2.392493418258869,0.8561427743905095,42783.38333333333,514.888642725769,2.1141724302377144e-11
60,60,15,7,90,"(s,S)",61.20464445190121,2.195107004746903,0.785508953456486,43872.76666666667,419.677678546405,
60,60,15,14,10,ROP,59.83736840050757,2.412521090682696,0.8633095849249341,32087.366666666665,453.37722245483207,1.7202510031315485e-12
60,60,15,14,10,"(s,S)",71.076430346224,2.3817566656974525,0.8523006768299798,32867.96666666667,318.6902622331557,
60,60,15,14,30,ROP,57.58698555507034,2.545974417345971,0.9110652445514874,34817.066666666666,548.9177960169652,1.6178940395786835e-11
60,60,15,14,30,"(s,S)",67.07479825904923,2.285843891585189,0.8179787314063129,35671.333333333336,406.586122560396,
60,60,15,14,60,ROP,52.3780652288233,2.247512708800123,0.8042620938077197,39847.0,526.1155508427979,2.1128057006542668e-11
60,60,15,14,60,"(s,S)",61.50582764478208,2.576662498774531,0.9220468334555396,40488.1,445.891256784308,
60,60,15,14,90,ROP,47.43237119663426,2.186166455748372,0.7823096190860085,44719.23333333333,475.176435268246,1.6178940395786835e-11
60,60,15,14,90,"(s,S)",56.01548049460875,2.1527022597795686,0.7703346103520956,45188.46666666667,387.0173048136557,
60,60,20,3,10,ROP,63.81893676908681,2.923247494590787,1.0460706813857856,37798.833333333336,630.4471731725237,1.7202510031315485e-12
60,60,20,3,10,"(s,S)",73.58932698921306,3.092461532955198,1.1066231473468242,37223.78333333333,672.0185249859609,
60,60,20,3,30,ROP,59.48699717287128,2.685267979003501,0.9609108054303972,42169.43333333333,568.9983507333093,1.1019713545087217e-11
60,60,20,3,30,"(s,S)",70.74225560673807,2.884931232078,1.0323593829380575,40526.8,608.5111285515873,
60,60,20,3,60,ROP,55.0569256326207,2.079104478567217,0.7439979825832368,47617.03333333333,503.3672336793562,1.7894851037736772e-11
